id;tip;kod;ad;adres;telefon;il_kod;il_ad;ilce_kod;ilce_ad;mahalle_ad;lat;lon;hafta_ici;cumartesi;pazar;aktiflik;guncellenme_tarihi
3724;PTT_SUBE;6945;FEVZİPAŞA  ŞUBESİ;FEVZİPAŞA MAHALLESİ 48019 SOKAK No: 18 SEYHAN ADANA;03224214862;1;ADANA;;;;36.996781;35.276883;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3723;PTT_SUBE;2745;GAZİKÖY  ŞUBESİ;GAZİ MAHALLESİ ATATÜRK CADDE No: 21 A KOZAN ADANA;03225332030;1;ADANA;;;;37.28765997;35.85414096;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3722;PTT_SUBE;2742;GÖÇYOLU  ŞUBESİ;KARACAOĞLAN MAHALLESİ ALPURUNGU SOKAK No: 1 KOZAN ADANA;03225154584;1;ADANA;;;;37.458972;35.814427;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3721;PTT_SUBE;2774;GÜZELYALI  ŞUBESİ;GÜZELYALI MAHALLESİ 81196 SOKAK No: 1 -1 ÇUKUROVA ADANA;03222340070;1;ADANA;;;;37.05163;35.285872;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3720;PTT_SUBE;2775;HACIBEYLİ  ŞUBESİ;HACIBEYLİ MAHALLESİ CEYHAN CADDE No: 1 KOZAN ADANA;03225332029;1;ADANA;;;;37.31015;35.878963;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3719;PTT_SUBE;8561;HADIRLI ŞUBESİ;HADIRLI MAHALLESİ HADIRLI CADDE No: 67 SEYHAN ADANA;0;1;ADANA;;;;36.931984;35.317561;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3718;PTT_SUBE;2782;HAYAL PARK  ŞUBESİ;YURT MAHALLESİ 71329 SOKAK No: 22 1 ÇUKUROVA ADANA;03222339748;1;ADANA;;;;37.035029;35.289853;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3717;PTT_SUBE;6939;HUZUR EVLERİ  ŞUBESİ;HUZUREVLERİ MAHALLESİ 77210 SOKAK No: 13 A ÇUKUROVA ADANA;03222471822;1;ADANA;;;;37.045486;35.279577;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3713;PTT_SUBE;2783;KAMIŞLI  ŞUBESİ;KAMIŞLI MAHALLESİ ÇAYLI KAŞ KÜME EVLER No: 32 POZANTI ADANA;03225898885;1;ADANA;;;;37.55802303;34.950627;08:30-12:30/13:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
3711;PTT_SUBE;2846;KARATAŞ MÜDÜRLÜĞÜ;YENİ MAHALLESİ 3 SOKAK No: 20 KARATAŞ ADANA;03226812001;1;ADANA;;;;36.566355;35.385812;08:30-17:00;KAPALI;KAPALI;1;2026-09-21 08:29:53
